Name,num_following
DalaiLama,0
RJPrateeka,0
arrahman,0
Virajitha_0805,1
iamnagarjuna,1
urstrulyMahesh,1
sonunigam,2
menongautham,2
SCGanguly,4
BvriteceA10,6
aamir_khan,6
amir_khan,6
mangeshkarlata,7
MSDmahi,8
vineeth_sps,8
ashabhosle,9
reddy1516,14
majetisiri,14
satvikgadam,14
sachin_rt,15
BeingSalmanKhan,16
KatrinaKaif4u,16
NatGeo,17
IA5194,17
akshaykumar,18
ssrajamouli,18
superstarrajini,19
AkhilAkkineni8,19
vijay_m92,19
virendersehwag,21
sai_yerneni,21
oncemanivamsi,21
ndtv,23
iSumanth,24
MadhuriDixit,25
Harish0123Te,29
Rajitha1829,32
imVkohli,32
RGVzoomin,32
destroyinangel,32
prakashraaj,33
babisandeep,33
EconomicTimes,34
Bharathmotha,35
actor_nithiin,36
actor_nithiin,36
amrutpatil3210,37
RNTata2000,38
santoshlagisety,39
iam_juhi,42
NameisNani,42
shrvyz,42
ramsayz,43
TheHindu,44
ImRo45,47
AkkineniAkshay,48
RamyaMattey,48
thesushmitasen,55
iPoonampandey,57
pragyanojha,59
prithvimacherla,59
LaraDutta,61
richyricha,63
likhit_kakollu,65
GreenDay,66
GautamGambhir,71
deepikapadukone,72
realpreityzinta,72
Actor_Siddharth,74
apoorvadasari16,74
vineethchandr12,75
ThisIsDSP,75
the_viralvideos,77
iamsrk,78
JobsatIntel,82
TheSh1ny,82
bhanupradeep1,83
PriyaAnand,86
sonakshisinha,86
JP_LOKSATTA,88
TheFarahKhan,90
MirzaSania,90
madhushyam,93
me_sushanth,97
TheShilpaShetty,98
ashwinravi99,99
taapsee,100
AnupamPkher,101
devakatta,102
Akkineni11,103
sunny24051018,104
triskadieka,104
KARTHIKSISTA,104
KumarPaladhi,105
shahidkapoor,106
AnushkaSharma,107
Ashritharya,109
iHrithik,113
geneliad,117
VasaviMIC,118
HeroManoj1,125
vaisham92,125
vennelakishore,126
bomanirani,127
vishnu_dir,137
tamannaahspeaks,138
ImZaheer,138
LeoDiCaprio,142
chetan_bhagat,142
bipsluvurself,142
ArvindKejriwal,143
Samanthaprabhu2,148
hellboy8tg,149
harbhajan_singh,150
trishtrashers,150
BillGates,169
LakshmiManchu,175
TheVijayMallya,178
shakira,178
ActorMadhavan,185
dineshpaladhi,186
the_hindu,193
pranay2012,194
maruthip25,202
vivek_oberoi,210
thekiranbedi,217
RanaDaggubati,219
FarOutAkhtar,225
shrutihaasan,229
IndiaToday,231
udaychopra,237
TimesNow,238
ParineetiChopra,243
Riteishd,244
ImRaina,247
SunRisers,248
Actorjiiva,249
priyamani6,253
urs_dineshj,253
BN247,253
Paladhi,256
NASA,256
ihansika,257
ArshadWarsi,258
Amala_ams,269
MusicThaman,277
joseph_udithraj,291
harish2you,292
purijagan,332
aruna_teluguone,363
karanjohar,376
juniorbachchan,380
ibnlive,398
ShaneWarne,407
priyankachopra,471
allarinaresh,484
mohanchandranp,496
timesofindia,536
ameesha_patel,536
ameesha_patel,536
shreyaghoshal,562
jimmy9,588
sonamakapoor,595
StuartBroad8,597
KP24,641
IntelInterns,681
Harishkumar1772,711
IndianExpress,720
htTweets,812
freinds4u2002,851
YouTube,913
SrBachchan,995
narendramodi,1228
telugufirst,1592
NehaDhupia,1825
OscarsAwards,2539
LalitKModi,2648
Olympics,2966
Discovery,3332
ScienceChannel,7388
KajalAgarwal,9254
McDonalds,14685
SUBWAY,33219
Starbucks,99963
mallikasherawat,299923
britneyspears,395765
BarackObama,637577
